,gene_id,light-grown seedling,dark-grown seedling,leaf,root,shoot apical meristem,root apical meristem
ACO4,AT1G05010,222.84,311.73,223.98,65.16,144.005,22.25
bHLH_bHLH122_col100_a,AT1G51140,19.8,9.32,18.11,23.78,24.535,6.32
C2C2dof_CDF3_col_a,AT3G47500,13.6,9.69,53.03,17.54,25.425,3.51
C2C2dof_DAG2_col_a,AT2G46590,9.23,28.07,3.79,27.37,10.91,2.41
C2C2dof_dof24_col_a,AT2G37590,2.6,3.36,1.415,3.34,3.045,2.46
C2C2dof_OBP3_col_a,AT3G55370,9.15,10.75,2.805,19.99,4.705,7.57
C2C2dof_OBP4_col_a,AT5G60850,16.96,32.05,35.59,14.09,8.245,6.72
Homeobox_ATHB13_col_a,AT1G69780,18.76,17.86,12.555,32.48,18.2,22.8
MYBrelated_RVE1_col_a,AT5G17300,8.53,18.41,7.98,6.44,1.325,3.19
Orphan_BBX31_col_a,AT3G21890,0.5,0,1.205,1.45,0.145,2.62
RAV_RAV1_col,AT1G13260,17.59,124.61,70.875,68.08,12.325,22.68
TCP_TCP24_col,AT1G30210,32.06,27.2,25.57,13.88,50.335,0
WRKY_WRKY15_col_b,AT2G23320,32.57,56,55.125,40.02,16.11,19.22
WRKY_WRKY33_col_a,AT2G38470,16.98,29.95,54.79,71.7,5.435,15.72
WRKY_WRKY40_col,AT1G80840,2.69,11.15,36.915,34.55,1.185,8.21
WRKY_WRKY71_col_a,AT1G29860,0.19,0.37,0.135,3.58,0.135,0.09
WRKY_WRKY75_col_a,AT5G13080,3.69,17.35,0.965,35.1,0,4.2
ZFHD_ATHB23_col_b,AT5G39760,9.99,17.15,10.625,4.77,9.245,16.15
ZFHD_ATHB25_col_a,AT5G65410,22.59,12,6.27,0.06,45.325,0.1
